chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
1	10497	+	CG	0.955	88.00	84	88	0	0	0.889	0.982
1	10502	+	CHG	0.000	88.00	0	88	0	0	0.000	0.042
1	10506	+	CHH	0.000	88.00	0	88	0	0	0.000	0.042
1	10507	+	CHG	0.000	88.00	0	88	0	0	0.000	0.042
1	10517	+	CHG	0.000	88.00	0	88	0	0	0.000	0.042
1	10522	+	CHH	0.000	88.00	0	88	0	0	0.000	0.042
1	10524	+	CHG	0.000	88.00	0	88	0	0	0.000	0.042
1	10525	+	CG	0.931	87.00	81	87	0	0	0.858	0.968
1	10564	-	CG	0.821	39.00	32	39	0	0	0.673	0.910
1	10567	-	CHG	0.026	39.00	1	39	0	0	0.005	0.132
1	10572	-	CG	0.718	39.00	28	39	0	0	0.562	0.835
1	10578	-	CG	0.744	39.00	29	39	0	0	0.589	0.854
1	10580	-	CG	0.718	39.00	28	39	0	0	0.562	0.835
1	10581	-	CHG	0.000	39.00	0	39	0	0	0.000	0.090
1	10583	-	CHH	0.000	39.00	0	39	0	0	0.000	0.090
1	10589	+	CG	1.000	26.00	26	26	39	39	0.871	1.000
1	10590	-	CG	0.974	39.00	38	39	26	26	0.868	0.995
1	10594	+	CHG	0.000	26.00	0	26	0	0	0.000	0.129
1	10599	+	CHG	0.000	26.00	0	26	0	0	0.000	0.129
1	10609	+	CG	0.923	26.00	24	26	0	0	0.759	0.979
1	10611	+	CHH	0.000	26.00	0	26	0	0	0.000	0.129
1	10614	+	CHH	0.000	26.00	0	26	0	0	0.000	0.129
1	10616	+	CHG	0.000	26.00	0	26	0	0	0.000	0.129
1	10617	+	CG	0.962	26.00	25	26	0	0	0.811	0.993
1	10641	+	CG	0.933	15.00	14	15	0	0	0.702	0.988
1	10643	-	CHG	0.000	16.00	0	16	15	15	0.000	0.194
1	10644	+	CG	0.867	15.00	13	15	16	16	0.621	0.963
1	10645	-	CG	0.938	16.00	15	16	15	15	0.717	0.989
1	10646	+	CHG	0.000	15.00	0	15	16	16	-0.000	0.204
1	10648	-	CHG	0.000	16.00	0	16	15	15	0.000	0.194
1	10649	-	CHH	0.000	16.00	0	16	15	15	0.000	0.194
1	10650	+	CG	0.867	15.00	13	15	16	16	0.621	0.963
1	10651	-	CG	0.875	16.00	14	16	15	15	0.640	0.965
1	10652	+	CHG	0.000	15.00	0	15	16	16	-0.000	0.204
1	10654	-	CHG	0.000	16.00	0	16	15	15	0.000	0.194
1	10656	-	CHH	0.000	16.00	0	16	15	15	0.000	0.194
1	10658	-	CHH	0.000	16.00	0	16	15	15	0.000	0.194
1	10659	-	CHH	0.000	16.00	0	16	15	15	0.000	0.194
1	10660	+	CG	0.733	15.00	11	15	16	16	0.480	0.891
1	10661	-	CG	0.938	16.00	15	16	15	15	0.717	0.989
1	10662	+	CG	0.714	14.00	10	14	16	16	0.454	0.883
1	10663	-	CG	0.673	14.86	10	16	13	14	0.422	0.853
1	10664	+	CHG	0.067	15.00	1	15	16	16	0.012	0.298
1	10665	+	CG	0.733	15.00	11	15	16	16	0.480	0.891
1	10666	-	CG	0.938	16.00	15	16	15	15	0.717	0.989
1	10667	+	CG	0.643	14.00	9	14	16	16	0.388	0.837
1	10668	-	CG	0.812	16.00	13	16	14	14	0.570	0.934
1	10669	+	CHG	0.000	14.00	0	14	16	16	0.000	0.215
1	10670	+	CG	0.833	18.00	15	18	16	16	0.608	0.942
1	10671	-	CG	1.000	16.00	16	16	18	18	0.806	1.000
1	10672	-	CHG	0.000	24.00	0	24	18	18	0.000	0.138
1	10673	+	CG	0.833	18.00	15	18	24	24	0.608	0.942
1	10674	-	CG	0.958	24.00	23	24	18	18	0.798	0.993
1	10675	+	CHG	0.000	18.00	0	18	24	24	0.000	0.176
1	10677	-	CHG	0.000	24.00	0	24	18	18	0.000	0.138
1	10678	-	CHH	0.000	24.00	0	24	18	18	0.000	0.138
1	10679	+	CG	0.833	18.00	15	18	24	24	0.608	0.942
1	10680	-	CG	0.875	24.00	21	24	18	18	0.690	0.957
1	10681	+	CHG	0.000	18.00	0	18	24	24	0.000	0.176
1	10683	-	CHG	0.000	24.00	0	24	18	18	0.000	0.138
1	10685	-	CHH	0.000	24.00	0	24	18	18	0.000	0.138
1	10687	-	CHH	0.000	24.00	0	24	18	18	0.000	0.138
1	10688	-	CHH	0.000	24.00	0	24	18	18	0.000	0.138
1	10689	+	CG	0.667	18.00	12	18	24	24	0.437	0.837
1	10690	-	CG	0.917	24.00	22	24	18	18	0.742	0.977
1	10691	+	CG	0.667	18.00	12	18	24	24	0.437	0.837
1	10692	-	CG	0.542	24.00	13	24	16	16	0.351	0.721
1	10693	+	CHG	0.000	18.00	0	18	24	24	0.000	0.176
1	10694	+	CG	0.722	18.00	13	18	24	24	0.491	0.875
1	10695	-	CG	0.917	24.00	22	24	18	18	0.742	0.977
1	10696	+	CG	0.556	18.00	10	18	24	24	0.337	0.754
1	10697	-	CG	0.792	24.00	19	24	18	18	0.595	0.908
1	10698	+	CHG	0.000	18.00	0	18	24	24	0.000	0.176
